SOC2018_Code,SOC2018_Occupation_Title,Automation_Probability,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operations Analysis,Operations Monitoring,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing
23-1022,"Arbitrators, Mediators, and Conciliators",0.06,3.88,4.38,3.75,3.12,4.0,1.0,1.0,1.0,2.88,3.62,2.88,1.38,1.25,2.0,2.12,2.88,4.62,1.12,1.5,1.38,3.75,1.62,1.0,4.12,1.0,1.25,3.0,3.75,4.12,2.62,2.5,1.25,2.88,1.0,4.25
23-1023,"Judges, Magistrate Judges, and Magistrates",0.4,4.0,5.0,4.12,3.0,4.88,1.0,1.0,1.0,3.0,4.25,2.75,1.62,1.62,2.88,2.12,3.88,3.25,1.0,2.38,1.25,3.0,1.25,1.0,4.25,1.0,1.75,3.0,4.0,4.12,3.0,2.88,1.75,3.38,1.0,4.12
23-2011,Paralegals and Legal Assistants,0.94,3.0,3.88,3.0,2.88,3.25,1.0,1.0,1.0,2.25,3.0,2.25,1.0,1.0,2.0,2.0,3.0,2.75,1.0,1.5,1.75,2.75,1.75,1.0,3.88,1.0,1.38,3.0,3.0,3.62,2.12,2.0,1.62,3.0,1.0,4.0
23-2093,"Title Examiners, Abstractors, and Searchers",0.99,3.0,3.75,3.12,3.0,3.62,1.0,1.0,1.0,2.12,2.75,2.38,1.62,1.62,2.38,2.25,3.0,2.12,1.0,1.62,1.62,2.5,1.25,1.25,4.12,1.0,1.25,2.88,2.88,3.62,2.25,2.12,1.0,3.12,1.0,3.38
25-2011,"Preschool Teachers, Except Special Education",0.01,3.12,3.88,3.0,3.75,3.75,1.0,1.38,1.0,4.0,3.12,3.88,1.5,2.0,2.88,2.0,3.75,2.88,1.0,1.75,1.75,3.0,1.0,2.0,3.75,1.0,1.62,3.62,3.75,4.0,2.5,2.75,1.5,3.0,1.75,3.0
25-2012,"Kindergarten Teachers, Except Special Education",0.15,3.25,4.0,3.38,3.88,3.25,1.0,1.0,1.0,4.12,3.5,4.0,1.12,1.75,3.0,2.25,4.0,3.12,1.0,1.62,1.88,3.25,1.25,1.88,3.88,1.0,1.38,3.62,4.12,4.0,2.88,3.0,1.62,3.75,1.5,3.25
25-2021,"Elementary School Teachers, Except Special Education",0.0,3.75,4.0,3.12,3.88,4.0,1.0,1.5,1.0,4.25,3.75,4.25,1.12,1.75,2.62,2.75,4.0,3.0,1.12,2.12,1.88,3.12,1.75,1.75,3.88,1.0,2.0,3.88,4.0,4.12,3.0,3.0,1.88,3.75,1.0,3.88
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",0.17,3.88,4.0,3.62,3.75,3.75,1.0,1.0,1.0,4.25,3.62,4.25,1.88,2.0,2.88,2.88,3.88,3.0,1.0,1.25,1.88,3.12,1.25,1.75,3.88,1.0,2.0,3.25,3.88,4.12,3.0,3.0,1.75,3.75,1.0,3.88
25-2023,"Career/Technical Education Teachers, Middle School",0.26,3.5,4.0,3.25,3.38,3.88,1.25,1.62,1.0,4.0,3.38,4.0,1.75,2.25,2.62,2.5,3.88,2.75,1.88,2.62,2.0,2.88,1.75,2.0,4.0,1.38,1.88,3.25,3.88,4.12,3.0,3.0,1.75,3.0,1.88,3.62
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",0.01,3.75,4.0,3.38,3.75,3.88,1.0,1.0,1.0,4.12,3.75,4.0,1.75,2.12,2.75,2.75,3.88,3.0,1.0,1.88,1.62,3.0,1.62,2.0,4.0,1.0,2.0,3.0,3.88,4.0,3.0,3.0,1.62,3.25,1.12,3.62
25-2032,"Career/Technical Education Teachers, Secondary School",0.01,3.88,4.12,3.75,3.88,4.0,2.0,1.88,1.0,4.5,3.75,4.12,1.88,2.12,2.75,3.0,4.0,3.12,2.0,1.75,2.38,3.12,1.62,2.25,4.12,1.88,1.75,3.75,4.0,4.12,2.88,3.0,1.88,3.62,2.12,4.0
25-2057,"Special Education Teachers, Middle School",0.02,4.0,4.0,3.62,3.88,3.75,1.0,1.0,1.0,4.0,3.62,4.0,1.12,1.12,2.88,2.62,3.88,3.0,1.12,1.38,1.38,3.12,1.38,1.25,3.88,1.0,1.88,3.88,4.0,4.0,2.88,2.88,1.62,3.75,1.0,3.88
25-2058,"Special Education Teachers, Secondary School",0.01,3.38,3.88,3.75,3.88,3.75,1.0,1.0,1.0,4.12,3.62,4.12,1.75,1.88,2.88,2.62,3.88,3.0,1.0,1.88,1.88,3.0,1.5,1.62,4.0,1.0,1.88,3.88,3.88,4.0,3.0,3.0,1.75,3.75,1.0,3.88
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0.19,3.5,3.75,3.12,3.0,3.5,1.0,1.0,1.0,4.25,3.38,3.75,1.12,1.12,2.62,2.62,3.62,3.0,1.0,1.38,1.88,2.88,1.38,1.12,3.75,1.0,1.75,3.38,3.5,3.75,2.88,2.75,1.88,3.25,1.0,3.62
25-3021,Self-Enrichment Teachers,0.13,3.12,3.38,2.88,3.0,3.12,1.0,1.0,1.0,3.38,3.0,3.38,1.25,1.5,2.5,2.0,3.12,2.12,1.62,1.88,1.88,2.62,1.75,2.0,3.12,1.0,1.38,3.0,3.12,3.62,2.25,2.25,1.75,2.88,1.62,3.0
25-4011,Archivists,0.76,3.38,3.88,3.25,2.88,3.38,1.0,1.0,1.0,2.88,3.12,2.88,1.88,2.0,2.5,2.0,3.0,2.5,1.0,2.12,1.75,2.62,1.5,2.12,4.12,1.0,1.88,3.12,2.75,3.5,2.88,2.88,1.62,2.88,1.62,3.88
25-4012,Curators,0.01,3.5,3.88,3.62,3.12,3.75,1.0,1.12,1.12,3.0,3.5,3.25,2.88,3.0,3.0,2.88,3.38,3.0,1.38,2.38,1.75,3.0,1.75,2.38,4.0,1.0,2.0,2.88,3.25,4.0,3.38,3.25,1.75,3.12,1.5,3.88
25-4013,Museum Technicians and Conservators,0.59,3.0,3.88,3.12,3.0,3.25,1.38,1.62,1.38,3.0,3.12,2.88,1.75,2.12,2.25,2.25,3.12,2.5,1.75,1.38,2.5,2.5,1.5,2.38,3.62,1.75,2.38,2.75,2.88,3.62,2.75,2.75,1.88,2.75,1.75,3.25
25-4031,Library Technicians,0.99,2.88,3.25,2.5,3.0,3.0,1.62,1.12,1.0,2.62,2.88,3.0,1.88,2.0,2.75,2.0,2.88,1.75,1.75,1.62,1.88,2.12,1.62,1.5,3.38,1.12,1.25,3.12,3.0,3.25,2.0,2.0,1.38,2.75,1.62,2.88
25-9021,Farm and Home Management Educators,0.01,3.75,4.38,3.75,3.75,3.75,1.0,1.25,1.0,3.88,3.88,3.75,2.62,2.5,2.88,3.0,3.38,3.12,2.25,2.5,2.25,3.5,1.62,1.88,4.0,1.0,2.75,3.62,3.88,4.12,3.62,3.62,1.88,3.38,1.38,3.88
25-9031,Instructional Coordinators,0.0,3.88,4.0,3.88,3.88,3.88,1.0,1.12,1.0,4.12,3.75,4.25,2.25,2.5,3.12,2.75,4.0,3.12,1.0,2.0,1.62,3.25,1.62,1.88,4.0,1.0,1.5,3.62,3.88,4.12,3.25,3.25,1.75,3.62,1.5,4.12
25-9042,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",0.56,3.12,3.75,3.12,3.5,3.38,1.0,1.0,1.0,3.38,2.75,3.38,1.75,2.38,2.38,2.5,3.38,2.88,1.12,1.25,2.0,3.0,1.5,1.62,3.62,1.0,1.38,3.5,3.75,3.62,2.12,2.25,1.62,3.25,1.75,3.38
25-9043,"Teaching Assistants, Special Education",0.56,3.0,3.88,3.0,3.12,3.38,1.12,1.38,1.0,3.5,2.88,3.62,1.12,1.38,2.38,1.88,3.62,2.88,1.38,1.38,1.62,3.12,1.62,1.38,3.62,1.0,1.38,3.62,3.75,3.75,2.25,2.25,1.5,2.75,1.0,3.12
27-1011,Art Directors,0.02,3.25,4.0,3.62,3.62,3.75,1.12,1.12,1.0,3.12,3.75,3.0,2.5,2.38,3.0,2.25,3.25,3.0,1.0,3.38,1.75,3.38,1.5,2.12,3.75,1.12,1.25,3.0,3.25,4.0,3.0,3.0,1.5,3.62,1.12,3.38
27-1012,Craft Artists,0.04,2.75,3.0,2.75,2.5,3.12,1.88,2.0,1.0,1.62,2.88,2.0,2.12,2.38,2.0,2.12,3.0,2.0,2.0,2.62,2.0,2.75,1.38,2.5,3.0,1.88,1.0,2.75,2.88,3.0,2.0,2.0,1.5,2.5,1.88,2.75
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",0.04,3.25,3.12,2.88,2.5,3.25,1.0,2.0,1.0,1.75,3.0,2.38,2.0,1.88,1.75,2.12,2.75,2.0,2.12,2.62,2.38,2.38,1.62,2.38,3.0,1.0,1.0,2.5,2.88,3.0,2.25,2.12,1.62,2.88,1.88,2.88
27-1014,Special Effects Artists and Animators,0.02,3.12,3.88,3.0,2.88,3.75,1.0,1.88,1.0,2.75,3.12,2.88,1.88,1.88,2.38,2.12,3.0,2.62,2.25,2.12,2.0,2.88,2.12,1.75,3.75,1.0,1.12,2.75,2.88,3.25,2.88,2.75,1.88,3.0,1.12,3.12
27-1021,Commercial and Industrial Designers,0.04,3.0,4.0,3.75,3.12,3.75,1.0,1.88,1.0,2.75,3.25,2.75,2.0,2.0,2.75,2.75,3.12,2.88,2.0,3.25,2.38,3.12,1.88,2.75,3.88,1.0,2.62,2.88,3.12,3.5,3.0,3.0,3.12,3.25,1.75,3.12
27-1022,Fashion Designers,0.02,3.75,3.88,3.62,3.75,3.88,1.0,1.5,1.0,3.5,3.75,3.12,2.62,2.75,3.5,2.12,3.5,3.62,1.0,3.25,2.12,3.62,1.38,2.38,3.62,1.0,1.12,3.5,3.75,3.88,3.0,2.88,1.75,3.75,1.75,3.38
27-1023,Floral Designers,0.05,3.0,4.0,2.75,2.88,3.25,1.0,1.62,1.0,2.25,3.12,2.25,2.0,2.75,2.12,2.25,3.0,2.38,1.38,3.0,1.25,2.88,1.38,2.0,2.88,1.0,1.25,3.38,3.38,3.88,2.0,2.0,1.5,3.25,1.0,2.5
27-1024,Graphic Designers,0.08,3.25,3.75,3.12,3.12,3.25,1.0,1.12,1.0,2.75,3.12,2.75,1.88,2.0,2.25,2.0,3.0,3.0,1.12,2.75,2.0,3.0,2.12,1.88,3.12,1.0,1.12,3.0,3.12,3.38,2.88,2.62,2.25,3.12,1.0,3.25
27-1025,Interior Designers,0.02,3.12,4.0,3.62,3.75,4.0,1.0,1.0,1.0,3.0,3.5,2.62,2.75,2.75,2.88,3.0,3.12,3.12,1.75,3.12,2.0,3.5,1.88,2.0,4.0,1.0,1.12,3.75,3.75,4.0,3.0,2.62,1.88,3.38,1.88,3.62
27-1026,Merchandise Displayers and Window Trimmers,0.48,2.88,3.5,2.88,3.0,3.25,1.0,1.38,1.12,2.25,3.12,2.38,1.62,2.0,2.25,2.0,2.75,2.38,1.75,2.38,1.75,2.88,1.5,2.12,3.0,1.0,1.25,2.88,3.0,3.25,2.38,2.25,1.75,3.0,1.62,2.88
27-1027,Set and Exhibit Designers,0.01,3.12,3.88,3.38,3.5,3.75,1.38,1.88,1.5,3.0,3.38,2.88,2.75,2.75,2.88,3.0,3.12,3.0,1.75,3.75,2.0,3.0,1.75,2.25,3.88,1.38,1.75,3.0,3.0,3.75,3.0,2.88,1.88,3.75,1.5,3.25
27-2011,Actors,0.37,2.62,3.75,2.88,2.88,3.0,1.0,1.0,1.0,2.75,2.88,2.75,1.0,1.0,2.38,1.0,3.0,2.5,1.0,1.75,1.25,2.5,1.0,1.0,3.88,1.0,1.5,2.12,3.75,3.88,2.0,2.0,1.25,3.0,1.0,2.88
27-2012,Producers and Directors,0.02,3.38,4.06,3.47,3.78,3.97,1.25,1.56,1.0,2.97,3.78,3.03,2.38,2.5,3.34,2.16,3.82,3.28,2.03,2.31,2.32,3.19,1.66,2.34,3.9,1.22,1.28,2.88,3.72,4.06,3.12,3.0,1.78,3.59,1.6,3.53
27-2021,Athletes and Sports Competitors,0.28,3.0,3.75,3.0,3.62,3.75,1.88,1.0,1.0,3.0,3.25,2.88,1.62,1.75,2.88,2.12,3.25,2.88,1.75,2.0,2.38,3.0,1.0,2.0,3.12,1.0,1.75,2.88,3.12,3.88,2.12,2.38,1.88,3.0,1.88,2.75
27-2022,Coaches and Scouts,0.01,3.88,4.0,3.88,3.88,4.0,1.0,1.88,1.0,4.75,4.0,4.12,2.0,2.5,3.88,2.12,4.12,3.62,1.62,2.75,2.0,3.88,1.25,2.62,4.0,1.0,1.62,3.75,4.0,4.38,3.88,3.62,1.88,3.88,1.88,3.62
27-2023,"Umpires, Referees, and Other Sports Officials",0.98,3.0,3.25,3.0,3.0,3.38,1.12,1.12,1.0,2.88,3.25,3.0,1.0,1.0,2.12,2.5,3.12,2.75,1.12,1.75,1.75,2.75,1.0,2.0,3.0,1.0,1.38,2.75,3.0,3.62,2.0,2.38,1.5,2.88,1.38,2.75
27-2031,Dancers,0.13,2.75,3.25,2.5,3.0,3.0,1.0,1.0,1.0,2.5,2.62,2.5,1.0,1.0,2.38,1.38,2.88,2.0,1.0,1.5,1.38,2.5,1.0,1.0,2.75,1.0,1.0,2.75,2.88,2.88,2.0,1.75,1.12,2.88,1.0,2.5
27-2032,Choreographers,0.0,3.25,3.88,3.0,3.88,3.38,1.0,1.0,1.0,4.0,3.25,3.62,1.62,1.75,3.12,1.62,3.75,3.0,1.0,2.75,1.5,3.0,1.12,1.25,3.5,1.0,1.12,3.25,3.62,3.88,2.62,2.75,1.62,3.38,1.0,3.0
27-2041,Music Directors and Composers,0.02,3.38,3.88,3.12,3.38,3.5,1.0,1.38,1.0,2.88,3.5,2.75,2.25,2.12,3.12,2.12,3.25,3.0,1.38,2.25,1.25,3.25,1.88,1.62,3.5,1.0,1.25,2.75,3.12,3.62,2.88,3.0,1.62,3.12,1.25,3.38
27-2042,Musicians and Singers,0.07,2.75,3.25,2.38,3.0,3.0,1.12,1.38,1.12,2.5,2.62,2.62,1.25,1.38,2.12,1.88,3.25,2.62,1.38,1.88,2.12,2.75,1.25,1.62,3.12,1.12,1.12,2.88,3.12,3.38,2.75,2.5,1.75,2.88,1.38,2.75
27-3011,Broadcast Announcers and Radio Disc Jockeys,0.1,3.12,4.0,3.0,3.0,3.75,1.38,1.38,1.0,2.12,3.0,2.0,1.5,1.5,2.0,1.75,3.0,2.5,2.12,1.88,2.12,2.88,1.12,1.88,3.88,1.25,1.0,3.0,3.75,4.75,2.0,2.12,1.12,3.25,1.5,3.12
27-3031,Public Relations Specialists,0.18,3.38,4.12,3.38,3.88,3.88,1.0,1.0,1.0,3.0,3.5,2.88,1.88,1.75,2.62,2.0,3.0,3.25,1.0,2.75,1.62,3.75,1.38,1.38,4.0,1.0,1.5,3.12,4.0,4.12,3.12,3.25,1.75,3.88,1.0,4.0
27-3041,Editors,0.06,3.12,3.88,3.12,3.0,3.88,1.0,1.0,1.0,3.0,3.12,2.88,1.5,1.38,3.0,2.12,3.0,3.0,1.25,2.0,1.88,3.0,1.62,3.25,4.88,1.0,1.0,2.62,3.12,3.75,3.12,2.5,1.62,3.38,1.0,4.25
27-3042,Technical Writers,0.89,3.25,3.75,2.75,3.0,3.62,1.0,1.0,1.0,2.5,3.12,2.5,1.38,1.62,2.12,1.62,3.0,2.62,1.0,2.5,1.5,2.88,1.38,2.25,4.12,1.0,1.25,2.12,2.75,3.75,2.38,1.88,1.38,3.12,1.12,4.88
27-3043,Writers and Authors,0.04,3.56,3.75,3.06,3.06,3.68,1.0,1.0,1.0,2.5,3.25,2.75,1.37,1.31,2.25,1.5,2.88,2.63,1.0,1.56,1.12,3.06,1.68,1.5,4.19,1.0,1.12,2.81,3.25,3.88,2.12,2.19,1.68,3.18,1.0,4.75
27-3091,Interpreters and Translators,0.38,3.12,4.0,3.0,3.0,3.62,1.0,1.0,1.0,3.0,3.12,3.0,1.25,1.25,2.75,2.0,3.62,2.38,1.0,1.62,2.0,2.88,1.12,2.0,3.88,1.0,1.12,3.12,3.12,4.12,2.12,2.12,1.88,3.0,1.25,3.75
27-3092,Court Reporters and Simultaneous Captioners,0.5,2.38,4.0,2.12,2.0,2.5,1.5,1.25,1.0,1.38,2.0,2.0,1.0,1.0,1.5,1.62,3.0,1.62,1.75,1.12,1.88,1.75,1.12,2.12,3.12,1.38,1.0,1.88,2.62,3.0,1.88,1.75,1.0,3.0,1.75,3.38
27-4011,Audio and Video Technicians,0.55,3.0,3.12,3.25,3.12,3.5,2.38,2.75,2.5,2.88,3.0,2.75,1.88,2.0,2.88,2.0,3.75,2.5,3.0,2.12,3.5,2.62,2.0,2.88,3.5,2.25,1.0,3.12,3.0,3.12,3.0,2.88,2.0,3.0,2.75,3.12
27-4012,Broadcast Technicians,0.74,3.12,3.62,3.25,3.0,3.75,3.12,2.75,2.0,2.5,3.12,2.88,1.88,2.12,2.62,2.75,3.5,2.38,3.0,2.12,3.5,2.38,2.12,2.88,3.12,2.75,1.88,2.38,3.0,3.12,2.88,2.75,2.25,3.12,3.0,3.25
27-4014,Sound Engineering Technicians,0.13,3.12,3.75,3.38,3.12,3.5,2.75,2.5,1.5,2.62,3.25,2.5,1.75,2.0,2.12,2.0,3.12,2.62,3.25,1.25,3.25,2.88,1.75,2.88,3.25,2.5,1.62,3.12,3.0,3.62,3.12,3.0,2.12,3.12,2.88,3.12
27-4021,Photographers,0.02,3.12,3.75,3.12,3.0,3.12,1.88,2.25,1.38,2.88,3.12,2.88,1.62,1.88,2.75,2.0,3.12,2.75,2.25,2.75,2.62,2.88,1.62,2.5,3.12,1.5,1.75,3.25,3.12,3.75,2.5,2.38,1.88,3.0,2.12,2.88
27-4031,"Camera Operators, Television, Video, and Film",0.6,2.88,3.75,3.0,3.25,3.12,2.25,2.62,1.12,2.38,3.25,2.75,1.75,1.88,2.5,2.0,3.12,2.5,2.88,2.12,2.88,2.88,1.38,2.88,3.25,2.38,1.0,2.88,3.12,3.25,2.25,2.25,2.0,3.12,2.38,2.88
27-4032,Film and Video Editors,0.31,3.25,3.75,3.25,3.0,3.5,1.38,1.75,1.0,2.38,3.12,2.62,1.62,1.62,2.25,1.88,3.0,2.5,1.88,2.12,2.25,2.75,1.5,2.5,3.38,1.38,1.0,2.5,2.88,3.25,2.75,2.62,1.75,3.12,1.88,3.12
29-1011,Chiropractors,0.03,3.38,4.0,3.62,3.12,3.88,1.0,1.0,1.0,2.88,3.5,2.88,1.88,1.88,2.88,2.38,3.12,2.62,1.88,2.12,1.88,3.0,1.5,2.0,3.88,1.0,3.38,3.5,3.75,3.88,3.12,3.12,1.75,3.25,1.38,3.75
29-1021,"Dentists, General",0.0,3.88,4.0,4.0,3.75,4.12,1.5,2.38,1.25,3.25,4.12,3.12,3.0,3.0,3.5,2.75,4.0,3.12,2.88,2.38,2.75,3.75,1.62,2.75,4.0,1.38,3.75,3.88,3.88,4.0,2.88,2.75,2.0,3.88,2.0,3.25
29-1022,Oral and Maxillofacial Surgeons,0.0,3.88,3.88,4.12,3.62,4.0,1.88,2.12,1.0,2.88,4.12,2.88,2.0,2.0,2.75,2.62,3.88,2.62,2.88,3.12,2.75,2.75,1.5,2.75,4.0,1.88,3.5,3.25,3.75,3.88,3.25,3.0,2.0,3.38,1.88,3.5
29-1023,Orthodontists,0.02,3.75,4.0,4.0,3.88,4.0,1.0,2.0,1.0,3.25,3.75,3.25,2.0,2.25,3.12,2.12,4.0,3.0,2.25,3.0,2.5,3.25,1.38,2.38,3.88,1.0,3.38,3.38,3.88,4.0,3.0,2.75,2.0,3.75,2.0,3.38
29-1024,Prosthodontists,0.06,3.0,4.0,3.75,3.0,4.0,1.88,2.0,1.25,3.12,3.38,2.88,2.0,2.12,3.0,2.0,3.62,2.75,2.12,2.88,2.62,2.88,1.75,2.5,3.62,1.88,3.0,3.12,3.62,4.0,2.75,2.75,2.0,3.25,2.12,3.38
29-1031,Dietitians and Nutritionists,0.0,3.62,4.0,3.88,3.75,4.0,1.0,1.0,1.0,3.75,4.0,3.75,2.75,2.75,2.88,3.0,3.88,3.12,1.0,3.12,1.88,3.38,1.75,2.88,4.0,1.0,3.25,3.88,4.0,4.0,3.12,3.25,1.75,3.25,1.5,3.88
29-1041,Optometrists,0.14,3.12,4.12,3.38,3.38,4.12,1.0,1.0,1.0,3.25,3.38,3.12,2.12,2.12,3.12,3.0,3.25,3.0,2.25,2.12,2.12,3.25,1.88,2.5,4.12,1.0,3.75,3.25,3.88,4.0,3.0,3.0,1.88,3.25,2.0,4.0
29-1051,Pharmacists,0.01,3.62,4.0,3.62,3.38,3.88,1.0,1.25,1.0,3.38,3.75,3.12,2.38,2.75,3.38,3.25,3.88,2.88,1.5,2.62,2.25,2.88,1.5,2.62,4.0,1.0,3.38,3.62,3.62,4.0,3.0,3.0,1.62,3.62,1.75,3.88
29-1071,Physician Assistants,0.14,3.69,4.0,3.5,3.18,3.87,1.62,1.75,1.12,2.94,3.81,3.0,1.94,2.18,2.81,2.94,3.82,2.75,2.0,2.0,2.82,2.88,1.63,2.63,3.94,1.5,3.31,3.62,3.56,3.81,2.94,3.0,1.82,3.32,2.25,3.56
29-1081,Podiatrists,0.0,4.0,4.0,3.75,3.38,4.0,1.0,2.25,1.0,3.0,3.88,3.25,2.25,2.25,3.0,2.88,3.88,2.62,2.12,2.62,2.25,2.88,1.5,2.38,4.0,1.0,3.5,3.25,3.88,4.0,3.12,3.12,2.25,3.0,2.0,3.88
29-1122,Occupational Therapists,0.0,3.82,4.06,3.38,3.38,3.75,1.0,1.18,1.0,3.94,3.69,3.94,1.68,1.87,2.88,2.06,3.94,3.0,1.81,2.25,2.18,3.06,1.56,2.0,3.94,1.0,2.38,4.0,3.94,4.0,3.06,3.06,1.94,3.38,1.75,3.88
29-1123,Physical Therapists,0.02,3.12,4.0,3.38,3.25,4.0,1.38,1.75,1.12,3.38,3.75,3.12,2.0,2.0,2.88,2.12,3.88,3.0,2.0,2.75,2.25,3.0,1.62,2.0,4.0,1.38,2.62,4.0,4.0,4.0,3.12,3.12,1.88,3.62,2.0,3.88
29-1124,Radiation Therapists,0.34,3.0,3.75,3.12,3.25,3.5,2.75,2.62,1.0,3.0,2.88,2.88,2.0,2.12,2.88,2.75,3.25,2.62,3.12,2.62,3.38,2.62,1.75,2.88,3.75,2.25,2.75,3.25,3.38,3.25,2.62,2.62,1.88,3.12,2.88,3.12
29-1125,Recreational Therapists,0.0,3.38,4.0,3.5,4.0,3.88,1.0,1.38,1.0,3.88,3.12,3.38,1.88,2.0,2.75,2.0,3.38,3.12,1.75,2.75,1.75,3.38,1.5,1.88,3.88,1.0,2.0,4.12,4.0,4.0,3.0,3.0,1.88,3.25,1.5,3.88
29-1126,Respiratory Therapists,0.07,3.62,3.88,3.38,3.38,3.88,2.25,2.38,1.0,3.25,3.38,3.12,1.88,2.0,2.88,2.75,3.88,2.88,2.88,2.12,3.0,2.88,1.5,3.0,3.62,2.25,3.0,3.62,3.62,3.75,2.88,2.88,2.12,3.12,2.38,3.12
29-1127,Speech-Language Pathologists,0.01,3.88,4.12,3.88,3.25,4.12,1.0,1.5,1.0,3.88,3.75,4.0,1.0,1.12,2.38,2.0,3.88,2.88,1.62,3.0,2.12,2.88,1.62,2.25,4.12,1.0,2.88,3.75,4.12,4.0,3.12,3.12,1.88,3.25,1.62,4.0
29-1131,Veterinarians,0.04,4.0,4.12,3.88,3.12,3.88,1.12,1.75,1.0,3.0,3.88,3.0,2.0,2.0,3.0,3.12,3.25,2.88,1.88,2.75,2.25,2.88,1.25,2.12,4.12,1.0,3.88,3.38,3.25,3.88,2.88,3.0,1.88,3.25,1.88,3.5
29-1181,Audiologists,0.0,4.0,4.12,3.62,3.38,4.0,2.12,2.12,1.25,3.12,3.75,3.38,1.88,1.88,2.88,2.88,3.75,2.88,2.12,2.88,3.0,3.12,1.75,3.0,4.12,2.12,3.0,3.62,4.0,4.0,3.12,3.12,1.88,3.25,2.12,4.0
29-1291,Acupuncturists,0.02,3.12,3.88,3.25,3.12,3.75,1.0,1.62,1.0,2.75,3.5,2.62,1.75,1.88,2.0,2.0,3.25,2.0,1.38,1.75,1.62,2.62,1.25,1.88,3.25,1.0,2.25,3.75,3.75,3.62,2.88,2.88,1.38,3.0,1.38,3.12
29-1292,Dental Hygienists,0.68,3.0,3.75,2.88,3.0,3.5,2.12,1.62,1.0,3.0,3.0,2.75,1.5,1.88,2.25,2.0,3.12,2.38,2.25,1.75,2.88,3.0,1.38,2.38,3.0,1.88,2.38,3.12,3.12,3.5,2.0,2.12,1.88,3.0,2.25,3.12
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",0.02,3.5,4.06,3.63,3.06,4.06,1.0,1.18,1.0,3.18,3.69,3.32,1.75,1.75,2.69,2.75,3.25,2.56,1.38,2.32,2.0,3.0,1.68,1.93,3.94,1.0,3.37,3.63,3.88,4.0,3.12,3.0,1.82,3.06,1.25,3.75
29-2011,Medical and Clinical Laboratory Technologists,0.9,3.22,3.62,3.32,2.97,3.75,2.28,2.09,1.09,2.88,3.28,2.82,1.94,2.03,2.72,2.78,3.25,2.25,2.66,1.66,3.09,2.5,1.78,3.0,3.75,2.06,3.28,2.78,2.97,3.28,2.59,2.62,1.53,3.16,2.53,3.25
29-2012,Medical and Clinical Laboratory Technicians,0.47,2.94,3.69,3.18,3.0,3.44,2.25,2.31,1.12,2.68,3.06,2.63,1.81,2.06,2.56,2.38,3.18,2.25,2.82,1.75,3.0,2.25,1.75,2.87,3.44,1.88,3.18,2.62,2.94,3.25,2.44,2.18,1.81,3.06,2.56,3.06
29-2031,Cardiovascular Technologists and Technicians,0.23,3.12,3.88,3.12,3.0,3.75,2.5,2.0,1.0,3.0,3.25,2.88,1.75,1.88,2.5,2.62,3.75,2.62,3.12,1.62,3.75,2.75,1.62,2.75,3.62,2.25,3.0,3.25,3.62,3.75,2.38,2.25,1.75,3.0,2.5,3.12
29-2032,Diagnostic Medical Sonographers,0.35,3.38,3.88,3.12,3.25,3.5,2.62,2.25,1.0,3.0,3.12,3.0,1.75,1.88,2.75,2.12,3.5,2.5,3.12,2.0,3.12,3.0,1.25,2.75,3.75,2.12,3.25,3.12,3.75,3.75,2.38,2.12,2.0,3.38,2.25,3.25
29-2033,Nuclear Medicine Technologists,0.13,3.12,3.75,3.12,3.25,3.88,2.38,2.25,1.0,2.88,3.25,2.75,1.75,2.0,2.62,3.12,3.5,2.38,3.0,1.75,3.12,2.75,1.62,2.88,3.5,2.12,3.25,3.25,3.38,3.75,2.38,2.38,1.75,3.0,2.38,3.5
29-2051,Dietetic Technicians,0.13,3.12,3.25,3.12,3.0,3.12,1.0,1.0,1.0,3.12,3.12,3.12,2.12,2.12,2.75,2.88,3.12,2.88,2.12,2.25,2.75,2.88,1.5,2.88,3.12,1.0,2.0,3.12,3.12,3.38,2.75,2.75,1.75,3.0,2.0,3.12
29-2052,Pharmacy Technicians,0.92,3.12,4.0,3.12,3.0,3.25,1.0,1.0,1.0,2.25,3.12,2.88,1.75,2.12,2.5,3.0,3.12,2.0,2.12,1.75,2.25,2.5,1.5,2.12,3.75,1.0,1.88,3.12,3.12,3.75,2.38,2.12,1.75,3.0,1.75,3.0
